state,district,priority_label,priority_rank,forecast_next_month,required_staff,required_kits
Madhya Pradesh,Jhabua,Medium Priority,361.0,1660,4,4
Bihar,Purba Champaran,Medium Priority,362.0,25,1,1
Andhra Pradesh,Sri Sathya Sai,Medium Priority,363.0,213,1,1
Uttar Pradesh,Sitapur,Medium Priority,364.0,3049,6,6
Rajasthan,Jaipur,Medium Priority,365.0,4713,9,9
Karnataka,Ballari,Medium Priority,366.0,563,2,2
West Bengal,Cooch Behar,Medium Priority,367.0,1722,4,4
Orissa,Dhenkanal,Medium Priority,368.0,26,1,1
Manipur,Churachandpur,Medium Priority,369.0,361,1,1
Gujarat,Bharuch,Medium Priority,370.0,770,2,2
Uttar Pradesh,Jalaun,Medium Priority,371.0,949,2,2
Bihar,Muzaffarpur,Medium Priority,372.0,3465,7,7
Uttar Pradesh,Barabanki,Medium Priority,373.0,102,1,1
Jharkhand,Ranchi,Medium Priority,374.0,2527,5,5
Uttar Pradesh,Baghpat,Medium Priority,375.0,1072,2,2
Uttar Pradesh,Kanpur Dehat,Medium Priority,376.0,1002,2,2
Chhattisgarh,Dakshin Bastar Dantewada,Medium Priority,377.0,345,1,1
West Bengal,Hooghly,Medium Priority,378.0,3041,6,6
Andaman And Nicobar Islands,North And Middle Andaman,Medium Priority,379.0,30,1,1
Maharashtra,Nandurbar,Medium Priority,380.0,1231,3,3
Assam,Hojai,Medium Priority,381.0,598,2,2
Delhi,North West Delhi,Medium Priority,382.0,2547,5,5
Rajasthan,Dhaulpur,Medium Priority,383.0,23,1,1
Uttar Pradesh,Aligarh,Medium Priority,384.0,2412,5,5
Uttar Pradesh,Budaun,Medium Priority,385.0,1925,4,4
Manipur,Ukhrul,Medium Priority,386.0,171,1,1
Andhra Pradesh,Parvathipuram Manyam,Medium Priority,387.0,104,1,1
Orissa,Sundargarh,Medium Priority,388.0,28,1,1
Jammu And Kashmir,Budgam,Medium Priority,389.0,190,1,1
Maharashtra,Thane,Medium Priority,390.0,5595,11,11
Rajasthan,Chittorgarh,Medium Priority,391.0,745,2,2
Tamil Nadu,Salem,Medium Priority,392.0,2036,4,4
Punjab,Sas Nagar (Mohali),Medium Priority,393.0,536,1,1
Uttar Pradesh,Gonda,Medium Priority,394.0,2311,5,5
Tamil Nadu,Thiruvallur,Medium Priority,395.0,60,1,1
Uttar Pradesh,Gorakhpur,Medium Priority,396.0,2771,6,6
Uttar Pradesh,Bareilly,Medium Priority,397.0,3406,7,7
Delhi,East Delhi,Medium Priority,398.0,1143,3,3
Jammu And Kashmir,Samba,Medium Priority,399.0,136,1,1
Andhra Pradesh,Anakapalli,Medium Priority,400.0,125,1,1
Maharashtra,Solapur,Medium Priority,401.0,2265,5,5
Madhya Pradesh,Chhatarpur,Medium Priority,402.0,2521,5,5
Uttar Pradesh,Ayodhya,Medium Priority,403.0,195,1,1
